crime_id,crime_type,date_time,latitude,longitude,location,day_of_week,time_of_day,season,weather,past_crime_rate,police_stations_nearby,prediction_label,hour,dbscan_cluster
1,Drug Offense,2022-08-17 00:47:00,28.649816047538945,77.19681776013871,Suburb B,Wednesday,Night,Fall,Cloudy,0.5389350321531832,4,0,0,-1
2,Fraud,2023-07-18 07:14:00,28.880285722563965,77.2367178296875,University Area,Tuesday,Morning,Winter,Clear,0.5958496355808172,2,0,7,-1
3,Vandalism,2022-10-13 23:06:00,28.79279757672456,77.42727369660109,Park,Thursday,Evening,Spring,Clear,0.9556348944917556,5,1,23,-1
4,Vandalism,2022-06-28 18:27:00,28.73946339367881,77.17000219302994,Train Station,Tuesday,Evening,Spring,Rainy,0.5096495661134923,3,0,18,-1
5,Drug Offense,2022-03-07 00:05:00,28.56240745617697,77.43482484240609,Mall,Monday,Night,Fall,Foggy,0.8267159620871811,3,1,0,-1
6,Vandalism,2023-03-24 07:32:00,28.56239780813448,77.04406721548834,Train Station,Friday,Morning,Spring,Snowy,0.6922044654575925,3,0,7,-1
7,Drug Offense,2022-02-24 17:12:00,28.52323344486728,77.38839921860432,Downtown,Thursday,Afternoon,Fall,Cloudy,0.8363243697161855,1,1,17,-1
8,Drug Offense,2024-05-09 07:28:00,28.846470458309973,77.42377381652737,Mall,Thursday,Morning,Summer,Foggy,0.7943458601817023,1,1,7,-1
9,Homicide,2023-07-24 00:48:00,28.740446004697283,77.09090882641867,Commercial Hub,Monday,Night,Fall,Rainy,0.6117493771773221,3,0,0,-1
10,Vandalism,2022-11-23 22:27:00,28.783229031118417,77.2151732661861,University Area,Wednesday,Evening,Fall,Clear,0.9236047437866944,4,1,22,-1
11,Homicide,2023-11-28 08:09:00,28.50823379771832,77.08274988733183,Suburb A,Tuesday,Morning,Fall,Cloudy,0.7459701913046783,4,0,8,-1
12,Vandalism,2023-03-17 10:06:00,28.8879639408648,77.35330206449711,Suburb A,Friday,Morning,Spring,Clear,0.9112680094567358,1,1,10,-1
13,Burglary,2022-07-09 12:06:00,28.832977056320168,77.26767388403083,Industrial Zone,Saturday,Afternoon,Summer,Cloudy,0.7030062680941096,3,0,12,-1
14,Drug Offense,2024-01-06 11:38:00,28.58493564427131,77.31766167335417,Industrial Zone,Saturday,Morning,Winter,Snowy,0.9923427769576196,4,1,11,-1
15,Assault,2023-06-26 01:46:00,28.57272998688284,77.0982434834781,Commercial Hub,Monday,Night,Summer,Cloudy,0.8852446792506481,1,1,1,32
16,Drug Offense,2024-07-29 17:07:00,28.57336180394137,77.10587293102621,Train Station,Monday,Afternoon,Spring,Snowy,0.9829751025562868,3,1,17,-1
17,Assault,2024-02-15 02:35:00,28.621696897183813,77.02074866275495,Downtown,Thursday,Night,Summer,Foggy,0.7571632394549295,2,1,2,-1
18,Vandalism,2023-08-24 20:39:00,28.709902572652894,77.16103376759787,Industrial Zone,Thursday,Evening,Summer,Clear,0.7368455661453502,3,0,20,-1
19,Fraud,2024-01-11 18:12:00,28.672778007456845,77.27987233066683,Mall,Thursday,Evening,Fall,Cloudy,0.8777269046626289,3,1,18,-1
20,Theft,2022-05-23 01:42:00,28.616491656079216,77.42896745699866,Park,Monday,Night,Fall,Cloudy,0.9401456315067152,5,1,1,-1
21,Homicide,2023-04-12 09:05:00,28.74474115788895,77.33346372372934,Suburb B,Wednesday,Morning,Spring,Rainy,0.9820728979327792,5,1,9,-1
22,Vandalism,2023-04-22 03:24:00,28.555797544260816,77.21769816169987,University Area,Saturday,Night,Fall,Clear,0.6622759530162499,2,0,3,-1
23,Theft,2023-07-24 14:40:00,28.61685785941409,77.47656005719706,Mall,Monday,Afternoon,Spring,Foggy,0.8993522869213195,2,1,14,-1
24,Burglary,2024-01-18 05:23:00,28.64654473731748,77.35962260028792,Park,Thursday,Night,Winter,Snowy,0.6053227988177683,3,0,5,-1
25,Assault,2023-12-29 06:42:00,28.68242799368681,77.46508260143128,Train Station,Friday,Morning,Summer,Foggy,0.7727871733727226,4,1,6,-1
26,Homicide,2023-07-01 22:59:00,28.814070384557205,77.26379398663609,Train Station,Saturday,Evening,Winter,Rainy,0.5899240742045996,2,0,22,15
27,Burglary,2022-05-27 19:40:00,28.579869512863343,77.12945213739657,Downtown,Friday,Evening,Winter,Foggy,0.6736986808751695,3,0,19,-1
28,Fraud,2022-12-17 17:46:00,28.705693775365443,77.02641334318236,Commercial Hub,Saturday,Afternoon,Summer,Snowy,0.9656791836032296,1,1,17,-1
29,Fraud,2023-05-17 05:29:00,28.73696582754481,77.36304242574192,Train Station,Wednesday,Night,Fall,Clear,0.5730453498865431,5,0,5,-1
30,Drug Offense,2024-02-17 08:59:00,28.518580165088,77.06065149900277,Suburb A,Saturday,Morning,Winter,Rainy,0.8162004475675982,4,1,8,27
31,Homicide,2023-03-26 21:20:00,28.743017940760573,77.15138756413599,University Area,Sunday,Evening,Summer,Cloudy,0.7964771364637017,3,1,21,-1
32,Homicide,2022-04-25 07:52:00,28.56820964947492,77.26623545394195,Suburb A,Monday,Morning,Winter,Cloudy,0.5603691763544932,1,0,7,-1
